experiment_ID,description,experiment_design,experiment_date,submitter_initials,Sample_ID,condition,barcode,plate_position,sample_name,bio_rep,tech_rep,cell_name,genotype,chronic_treatment,chronic_treat_duration,acute_treatment,acute_treat_duration,dose,dose_units,cell_lot_number,donor_ID,donor_phenotype,passage_number,doubling_time,date_cells_harvested,harvested_by,date_RNA_isolated,RNA_isolated_by,RNA_conc_ng_per_uL,RNA_volume_uL,OD_260_280,OD_260_230,RIN,any_other_sample_info,organism,developmental_stage,disease_area,tissue,cell_source_type,cell_type,RRID,vendor,starvation_hr,maintenance_baseline,number_cells_per_replicate,dissection_protocol,growth_protocol,culture_media,starvation_conditions,stimulation_protocol,cell_harvest_protocol,nucleic_acid_extraction_method,ELN,any_other_protocol_info,submission_ID,treatment_dose,full_treatment,chronic_treatment_time,acute_treatment_time
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_1,primary-human-hepatocytes_Maintenance_336hr,F81354,A1,1,SMC_Plate 69,A,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,62.09162092,15,2.07,1.89,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_2,primary-human-hepatocytes_Maintenance_336hr,F81355,A1,2,SMC_Plate 69,B,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,77.47277473,15,2.1,1.83,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_3,primary-human-hepatocytes_Maintenance_336hr,F81356,A1,3,SMC_Plate 69,C,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,80.00180002,15,2.13,1.84,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_13,primary-human-hepatocytes_Maintenance_336hr,F81365,A1,13,SMC_Plate 75,A,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,1/24/23,LERI,3/14/23,LERI,22.46422464,15,1.92,1.93,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_14,primary-human-hepatocytes_Maintenance_336hr,F81366,A1,14,SMC_Plate 75,B,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,1/24/23,LERI,3/14/23,LERI,21.30321303,15,2.03,1.77,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_25,primary-human-hepatocytes_Maintenance_336hr,F81377,A1,25,SMC_Plate 89,A,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,3/29/23,LERI,4/20/24,LERI,47.97947979,15,2.07,1.85,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_26,primary-human-hepatocytes_Maintenance_336hr,F81378,A1,26,SMC_Plate 89,B,primary human hepatocytes,,Condition 1,336,,0,0,,M00995-P,SMC,healthy,,0,3/29/23,LERI,4/20/24,LERI,43.30843308,15,1.93,1.23,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,yes,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Maintenance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_4,primary-human-hepatocytes_Insulin_Resistance_336hr,F81357,A1,4,SMC_Plate 69,A,primary human hepatocytes,,Condition 2,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,87.88587886,15,2.06,1.68,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,no,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Insulin_Resistance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_5,primary-human-hepatocytes_Insulin_Resistance_336hr,F81358,A1,5,SMC_Plate 69,B,primary human hepatocytes,,Condition 2,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,37.14337143,15,2.06,1.76,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,no,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Insulin_Resistance,14 d,0 h
RNA05000001,Primary human hepatocytes were culture in vitro in the CnBio MPS model in normal - maintenance - media or insulin resistance media for 14 days. Then accutely stimulated or not with 1 nM human insulin for the last 24h before harvesting the cell.,disease state design,3/29/23,DADY,NG-A0648_6,primary-human-hepatocytes_Insulin_Resistance_336hr,F81359,A1,6,SMC_Plate 69,C,primary human hepatocytes,,Condition 2,336,,0,0,,M00995-P,SMC,healthy,,0,12/13/22,LERI,3/15/23,LERI,67.8696787,15,2.05,1.63,0,,homo sapiens,,type 2 diabetes mellitus,liver,primary cell,hepatocyte,,BioIVT,0,no,500000,From vendor,,,,,,Quick RNA micro-prep.,23935-160,,RNA05,0,Insulin_Resistance,14 d,0 h
